loss,mae,mse,val_loss,val_mae,val_mse,lr
0.057331282645463943,0.17970043420791626,0.05733127519488335,0.01438361220061779,0.09016565978527069,0.014383613131940365,0.001
0.01636163704097271,0.1041959673166275,0.01636163704097271,0.010858796536922455,0.08396206051111221,0.010858794674277306,0.001
0.013627828098833561,0.0955919399857521,0.01362782996147871,0.010668125934898853,0.07969573885202408,0.010668125003576279,0.001
0.012438884936273098,0.09015493839979172,0.012438885867595673,0.00974365510046482,0.08213767409324646,0.00974365510046482,0.001
0.01117957103997469,0.08465208113193512,0.01117956917732954,0.008897542953491211,0.07915853708982468,0.008897542953491211,0.001
0.009491555392742157,0.07773201167583466,0.009491555392742157,0.007220770698040724,0.0691836029291153,0.007220770698040724,0.001
0.008586936630308628,0.07415606081485748,0.008586936630308628,0.007060578092932701,0.06494472175836563,0.007060579024255276,0.001
0.008427097462117672,0.07259353250265121,0.008427098393440247,0.006416249554604292,0.06648245453834534,0.006416250020265579,0.001
0.006643778178840876,0.06454417109489441,0.0066437795758247375,0.00448373518884182,0.05436471104621887,0.004483735654503107,0.001
0.005971856415271759,0.06113973259925842,0.005971855949610472,0.0031450248789042234,0.04480968043208122,0.0031450248789042234,0.001
0.0055390880443155766,0.05842766910791397,0.005539087112993002,0.002854882972314954,0.04412602633237839,0.0028548832051455975,0.001
0.005288321059197187,0.05678475648164749,0.005288321990519762,0.002852882258594036,0.042907796800136566,0.002852882258594036,0.001
0.006337667815387249,0.062075380235910416,0.006337667815387249,0.006157136522233486,0.06534814834594727,0.006157136522233486,0.001
0.0047713881358504295,0.05395152047276497,0.004771389067173004,0.001972733996808529,0.035855457186698914,0.001972733996808529,0.001
0.004009478725492954,0.04914703220129013,0.0040094791911542416,0.002094292314723134,0.03669220954179764,0.0020942925475537777,0.001
0.004178062081336975,0.05024905875325203,0.004178061615675688,0.001973590115085244,0.035742923617362976,0.001973590115085244,0.001
0.00393969751894474,0.0486140102148056,0.003939698450267315,0.003026490332558751,0.045501984655857086,0.0030264905653893948,0.001
0.0046815406531095505,0.05357598140835762,0.004681541584432125,0.0015853127697482705,0.03200901672244072,0.0015853128861635923,0.001
0.003600154770538211,0.04628425091505051,0.003600155236199498,0.0015101713361218572,0.03157602623105049,0.0015101713361218572,0.001
0.00361801078543067,0.0466633066534996,0.0036180103197693825,0.0019617187790572643,0.03527212142944336,0.0019617187790572643,0.001
0.0037316097877919674,0.04759532958269119,0.0037316109519451857,0.005063563585281372,0.05942194163799286,0.005063563585281372,0.001
0.004377671983093023,0.05112600699067116,0.004377671051770449,0.0023589071352034807,0.03927309438586235,0.0023589073680341244,0.001
0.003454539692029357,0.045831725001335144,0.0034545399248600006,0.0014899681555107236,0.03138869255781174,0.0014899680390954018,0.001
0.0033676880411803722,0.04478012025356293,0.0033676878083497286,0.0016432395204901695,0.032128673046827316,0.0016432395204901695,0.001
0.00338487490080297,0.044929999858140945,0.0033848744351416826,0.0026856428012251854,0.04295564070343971,0.0026856428012251854,0.001
0.0035183103755116463,0.04560313746333122,0.0035183103755116463,0.001779632642865181,0.033930305391550064,0.001779632642865181,0.001
0.003076285822317004,0.04289071634411812,0.003076285822317004,0.0024469560012221336,0.04010334238409996,0.00244695576839149,0.001
0.002878883620724082,0.04134668409824371,0.002878883620724082,0.0018753494368866086,0.035791829228401184,0.0018753494368866086,0.001
0.003254886716604233,0.04450756683945656,0.0032548869494348764,0.0016800920711830258,0.033462729305028915,0.0016800920711830258,0.001
0.003078618785366416,0.042692631483078,0.0030786190181970596,0.001999048748984933,0.036261606961488724,0.001999048748984933,0.001
0.0032554352656006813,0.04405226558446884,0.003255435498431325,0.001616932451725006,0.031909119337797165,0.001616932568140328,0.001
0.0035616285167634487,0.046378858387470245,0.0035616285167634487,0.003459956031292677,0.04618591070175171,0.003459956031292677,0.001
0.0028908730018883944,0.041374459862709045,0.0028908720705658197,0.0014495040522888303,0.031053099781274796,0.0014495039358735085,0.001
0.003091736463829875,0.043451305478811264,0.003091736463829875,0.001115477760322392,0.026771295815706253,0.001115477760322392,0.001
0.0028806652408093214,0.04152625426650047,0.0028806659393012524,0.0013458372559398413,0.02962925098836422,0.001345837372355163,0.001
0.0029489777516573668,0.04234065115451813,0.002948978217318654,0.0017274892888963223,0.034052178263664246,0.001727489521726966,0.001
0.0029113618656992912,0.042029451578855515,0.002911361400038004,0.0011388111161068082,0.027344780042767525,0.00113881123252213,0.001
