round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
178,0.003408654360100627,0.04535982757806778,0.42487043142318726,0.0029174712188915247,0.041399516,0.48522905,1.0000001e-09,64,0.1,400,50,200,mean_squared_error,0.01
200,0.002035844437777996,0.033937618136405945,0.4637528955936432,0.0019916267588502316,0.034342926,0.4690456,1.0000001e-11,16,0.2,50,100,50,mean_squared_error,0.01
163,0.0018112039193511008,0.03228696435689926,0.45204049348831177,0.0012412833638192633,0.027173234,0.47257417,1e-12,16,0.2,100,300,400,mean_squared_error,0.001
353,0.0012918334593996406,0.02726002223789692,0.487398236989975,0.0007120706515650126,0.019585334,0.477793,9.765625e-07,32,0.0,200,200,400,mean_squared_error,0.5
247,0.0021663345396518707,0.03442198783159256,0.4471403658390045,0.0013336448856050725,0.026869215,0.46409985,1e-18,128,0.0,100,400,400,mean_squared_error,0.001
289,0.0024814904574304818,0.03693497180938721,0.46376174688339233,0.0014124428617450634,0.027949218,0.43067354,7.29e-07,32,0.0,50,50,200,mean_squared_error,0.3
205,0.0020132069941610096,0.033667054027318954,0.46897292137145996,0.0016845146936669381,0.031169169,0.47335434,1.0000001e-11,32,0.1,100,300,200,mean_squared_error,0.01
211,0.0015493262000381947,0.028751177713274956,0.4650101661682129,0.000892333368219037,0.022734992,0.46992448,1e-18,16,0.0,100,300,100,mean_squared_error,0.001
250,0.0018894537165760994,0.03192173317074776,0.4552949368953705,0.0012920718647672885,0.027329033,0.4596677,1.0000001e-08,16,0.1,50,400,50,mean_squared_error,0.1
227,0.0020382454618811606,0.03276221454143524,0.47412729263305664,0.001390303844453265,0.027632007,0.4743016,1e-18,32,0.0,50,50,400,mean_squared_error,0.001
272,0.002376065645366907,0.03565526008605957,0.48056700825691223,0.0021436884957790905,0.03553502,0.43598688,1e-18,32,0.3,50,100,300,mean_squared_error,0.001
191,0.003099016146734357,0.04340912774205208,0.4436619281768799,0.002620457985307731,0.039701436,0.48031586,1e-12,64,0.1,300,200,400,mean_squared_error,0.001
308,0.0014377903845161199,0.028618687763810158,0.48830747604370117,0.0007968447471912826,0.02125237,0.4323667,7.29e-07,32,0.1,300,300,400,mean_squared_error,0.3
342,0.0017206241795793176,0.03143790736794472,0.48288318514823914,0.0017278733323802674,0.032102816,0.43366513,7.8125e-06,32,0.2,200,50,100,mean_squared_error,0.5
277,0.001504598306491971,0.028663592413067818,0.4945393204689026,0.0012023958113336964,0.026894469,0.4781048,2.1870001e-07,32,0.2,400,400,200,mean_squared_error,0.3
191,0.0018149078451097011,0.031208684667944908,0.4905547499656677,0.0019286125609267479,0.034015156,0.4634498,1.0000001e-07,16,0.3,50,200,100,mean_squared_error,0.1
224,0.0012902774848043918,0.026967937126755714,0.4896068572998047,0.0006459425576860894,0.01876416,0.47209257,1.00000005e-13,16,0.0,300,200,200,mean_squared_error,0.01
222,0.0021053410507738592,0.03482518717646599,0.46785593032836914,0.0017717812004974132,0.032043442,0.43812826,1e-18,32,0.1,100,200,200,mean_squared_error,0.001
287,0.0018196386517956853,0.03275080770254135,0.4482758045196533,0.0023130130998682405,0.03778488,0.45269027,1.0000001e-11,128,0.1,200,50,50,mean_squared_error,0.01
