round_epochs,val_loss,loss,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
197,0.0016904130008899504,0.0011447515192505471,2.1870001e-07,relu,16,0.1,100,50,100,mean_squared_error,0.3
219,0.0014397416056858168,0.0005608019025523413,3.90625e-06,relu,16,0.1,200,200,100,mean_squared_error,0.5
218,0.0014676149520609113,0.0009529277623552724,1e-15,relu,16,0.1,100,50,200,mean_squared_error,0.01
203,0.001538791564396686,0.0001354825988618985,7.8125e-06,relu,16,0.0,100,100,200,mean_squared_error,0.5
184,0.0016110077914264468,0.00111577381500307,1e-17,relu,16,0.0,400,100,100,mean_squared_error,0.01
172,0.001601118930718965,0.00014431877159644093,7.29e-07,relu,16,0.0,100,200,200,mean_squared_error,0.3
168,0.001885490854167276,0.0008620373220901031,1.0000001e-19,relu,16,0.0,50,50,100,mean_squared_error,0.0001
208,0.0016050026493353976,0.0010808667219156904,1.0000001e-24,relu,16,0.0,200,50,100,mean_squared_error,0.001
232,0.0016147681874119574,0.0012152130518622139,1.0000001e-24,relu,16,0.1,50,100,100,mean_squared_error,0.001
136,0.002679125095407168,0.002919766602231149,1.0000001e-19,relu,16,0.1,200,100,50,mean_squared_error,0.0001
207,0.0015526148490607738,7.747374193030598e-05,7.8125e-06,relu,16,0.0,200,100,200,mean_squared_error,0.5
196,0.0012613481117619409,0.0002793048350842208,1.0000001e-09,relu,16,0.0,100,200,100,mean_squared_error,0.1
188,0.0016363072985162337,0.0006759912427025195,1e-15,relu,16,0.0,50,200,50,mean_squared_error,0.01
226,0.0017554160569690997,0.0018650035934545959,1.0000001e-24,relu,16,0.1,200,100,50,mean_squared_error,0.001
156,0.0020467756936947503,0.0014361661878440563,1.0000001e-23,relu,16,0.0,400,50,50,mean_squared_error,0.0001
222,0.0016103713100569116,0.000542589319043726,3.90625e-06,relu,16,0.1,100,100,200,mean_squared_error,0.5
231,0.0012088994909491804,0.00028194971091126316,2.1870001e-07,relu,16,0.0,200,50,50,mean_squared_error,0.3
227,0.0014577305022006233,0.0007180810865737219,1.0000001e-24,relu,16,0.0,100,100,50,mean_squared_error,0.001
204,0.001550787180248234,0.0010874485702187149,1.0000001e-10,relu,16,0.1,100,200,100,mean_squared_error,0.1
211,0.0016873306594789028,0.0014267071653259018,6.561e-08,relu,16,0.1,100,50,50,mean_squared_error,0.3
226,0.001865376356161303,0.0010149387259767435,1e-15,relu,16,0.1,50,100,100,mean_squared_error,0.01
207,0.001341413628930847,0.0006417063683397615,1e-15,relu,16,0.0,400,100,50,mean_squared_error,0.01
208,0.0015536638804607922,0.0008376090137456251,7.29e-07,relu,16,0.1,100,50,200,mean_squared_error,0.3
158,0.0018028835248616007,0.001982834342086682,1.0000001e-21,relu,16,0.1,300,100,100,mean_squared_error,0.001
234,0.001876558642834425,0.0017143276808754399,1.0000001e-24,relu,16,0.1,100,100,50,mean_squared_error,0.001
153,0.001728582972039779,0.000906164341205818,1e-18,relu,16,0.0,200,200,100,mean_squared_error,0.001
205,0.0014154531268609895,7.672273687459093e-05,7.8125e-06,relu,16,0.0,300,100,200,mean_squared_error,0.5
201,0.0015692919130540555,0.0007004726702068871,1.0000001e-24,relu,16,0.0,50,200,100,mean_squared_error,0.001
208,0.0017064878872285287,0.00108350689357547,1.0000001e-24,relu,16,0.0,200,100,100,mean_squared_error,0.001
184,0.001789758913218975,0.0010434587546290593,1.0000001e-21,relu,16,0.0,200,200,50,mean_squared_error,0.001
202,0.0016483223945316342,0.001513323431284779,1e-15,relu,16,0.1,100,100,50,mean_squared_error,0.01
227,0.0014029923412534925,4.566278979514081e-05,1.5625e-05,relu,16,0.0,200,200,100,mean_squared_error,0.5
211,0.0017906706262793806,0.0022245653106387113,1.0000001e-24,relu,16,0.1,200,200,50,mean_squared_error,0.001
192,0.0013400294378192888,0.0004360202258899576,1.0000001e-09,relu,16,0.0,200,100,100,mean_squared_error,0.1
262,0.0013383080691306128,0.0006344284816221493,3.90625e-06,relu,16,0.1,200,50,100,mean_squared_error,0.5
211,0.0012829792427106036,0.0002778173623587704,2.1870001e-07,relu,16,0.0,100,100,100,mean_squared_error,0.3
215,0.0013145942422043947,0.0003872891371497432,1.0000001e-09,relu,16,0.0,300,50,100,mean_squared_error,0.1
201,0.0014962165926893551,0.000847887823893471,1.0000001e-31,relu,16,0.0,100,50,200,mean_squared_error,0.0001
219,0.0014353973351212011,0.0007451396517824045,1.0000001e-10,relu,16,0.1,100,100,200,mean_squared_error,0.1
177,0.0014785695044944684,0.0007054855767057228,7.29e-07,relu,16,0.1,50,200,200,mean_squared_error,0.3
158,0.0019209838420566586,0.0012159300257228432,1.0000001e-23,relu,16,0.0,100,50,100,mean_squared_error,0.0001
213,0.001420081127434969,0.0006448730375404496,6.561e-08,relu,16,0.1,200,200,200,mean_squared_error,0.3
150,0.0016474428121000528,0.0008094556320667546,1e-15,relu,16,0.0,100,100,100,mean_squared_error,0.001
250,0.0016048881225287914,0.0006309711509253655,3.90625e-06,relu,16,0.1,100,200,50,mean_squared_error,0.5
225,0.0014532518883546193,0.0011309427209198475,2.1870001e-07,relu,16,0.1,200,50,50,mean_squared_error,0.3
151,0.0022986074133465686,0.0012936232603558359,1.0000001e-23,relu,16,0.0,50,100,50,mean_squared_error,0.0001
174,0.002128336164686415,0.001238936001313067,1e-18,relu,16,0.1,200,50,200,mean_squared_error,0.001
271,0.001518023174463047,0.0012066131588245664,4.882813e-07,relu,16,0.1,100,100,50,mean_squared_error,0.5
231,0.0012916436599981454,0.00040428599957782903,1.0000001e-10,relu,16,0.0,300,50,50,mean_squared_error,0.1
156,0.0022310996428132057,0.0020042301933179576,1.0000001e-23,relu,16,0.1,300,100,100,mean_squared_error,0.0001
223,0.0014370701327506038,0.0006282900995357293,6.561e-08,relu,16,0.1,300,200,200,mean_squared_error,0.3
201,0.0015623880705485742,0.0013109369107704852,1.0000001e-09,relu,16,0.1,100,100,50,mean_squared_error,0.1
149,0.0024029419550465215,0.002158268225724545,1.0000001e-19,relu,16,0.1,300,200,200,mean_squared_error,0.0001
178,0.001385057021656798,0.0002577991590753917,7.29e-07,relu,16,0.0,300,50,100,mean_squared_error,0.3
219,0.0014432775529308452,0.0012567967221407783,1e-15,relu,16,0.1,200,100,100,mean_squared_error,0.01
223,0.0013287693210360077,0.0006040661099636666,6.561e-08,relu,16,0.1,400,100,200,mean_squared_error,0.3
173,0.0016501785204228428,0.0010717124785180566,1e-15,relu,16,0.0,400,50,100,mean_squared_error,0.01
183,0.0016339792766504819,0.0011966940219734572,1e-18,relu,16,0.1,100,200,100,mean_squared_error,0.001
184,0.0014758150533048643,0.00029140696024908063,2.43e-06,relu,16,0.0,100,50,200,mean_squared_error,0.3
201,0.0014579395194434458,0.0009278481538955853,7.29e-07,relu,16,0.1,100,200,50,mean_squared_error,0.3
217,0.001645078934315178,0.0005374498272023086,1.5625e-05,relu,16,0.1,300,100,100,mean_squared_error,0.5
220,0.0019226092586500777,0.0019848471394278734,1.0000001e-24,relu,16,0.1,100,50,50,mean_squared_error,0.001
188,0.001446690462115738,0.0007130559368822085,1e-15,relu,16,0.0,100,100,100,mean_squared_error,0.01
243,0.0014072313335620696,0.00020077158905934932,3.90625e-06,relu,16,0.0,50,100,100,mean_squared_error,0.5
260,0.0013381048467838103,0.0005101955235925594,1.9683e-08,relu,16,0.1,100,200,200,mean_squared_error,0.3
193,0.001699589244607422,0.0003238938856003893,2.1870001e-07,relu,16,0.0,100,200,50,mean_squared_error,0.3
195,0.0017457025953465039,0.0019356978446465694,1e-15,relu,16,0.1,200,50,50,mean_squared_error,0.01
192,0.002357223899000221,0.0012769305641905076,1.0000001e-11,relu,16,0.1,400,50,100,mean_squared_error,0.01
194,0.002024648969786035,0.0011085303505009325,1.0000001e-23,relu,16,0.0,200,50,100,mean_squared_error,0.0001
140,0.0027040870756738717,0.0022213281816991504,1.0000001e-23,relu,16,0.0,400,200,200,mean_squared_error,0.0001
192,0.0012735667664350735,0.00022634307716427678,2.1870001e-07,relu,16,0.0,400,100,50,mean_squared_error,0.3
247,0.0012673918261296218,0.00018661458320778611,1.0000001e-09,relu,16,0.0,100,200,50,mean_squared_error,0.1
212,0.001319668281616436,0.000926413826464539,1.0000001e-09,relu,16,0.1,400,100,100,mean_squared_error,0.1
152,0.002063557402127319,0.001490264565965329,1.0000001e-23,relu,16,0.0,400,200,100,mean_squared_error,0.0001
153,0.0022577994968742132,0.002456822963518517,1.0000001e-19,relu,16,0.1,300,100,50,mean_squared_error,0.0001
180,0.001541872922745016,0.0007267589992742022,7.29e-07,relu,16,0.1,200,100,100,mean_squared_error,0.3
142,0.002895527312325107,0.003025196219948222,1.0000001e-23,relu,16,0.1,300,50,100,mean_squared_error,0.0001
185,0.001352610208818482,0.000203920347640375,1.5625e-05,relu,16,0.0,200,50,200,mean_squared_error,0.5
226,0.001327266826087402,0.00012575446961141508,3.90625e-06,relu,16,0.0,400,100,100,mean_squared_error,0.5
208,0.0014588638053586085,6.221469324531841e-05,1.5625e-05,relu,16,0.0,400,100,200,mean_squared_error,0.5
248,0.0012518424902939135,0.0007689925180124322,2.1870001e-07,relu,16,0.1,300,100,50,mean_squared_error,0.3
176,0.0017740304271380107,0.0009125989603931868,1e-15,relu,16,0.0,400,50,200,mean_squared_error,0.01
168,0.0019377446733415127,0.0012566058818871777,1.0000001e-31,relu,16,0.0,200,100,200,mean_squared_error,0.0001
197,0.0011967114535056883,0.00039564437028731444,1.0000001e-10,relu,16,0.0,300,200,200,mean_squared_error,0.1
210,0.0013167194815145598,0.0009939815142595229,1.0000001e-10,relu,16,0.1,300,200,100,mean_squared_error,0.1
209,0.002037640091859632,0.0011386244022505026,1.0000001e-24,relu,16,0.0,100,50,50,mean_squared_error,0.001
199,0.001866108634405666,0.0011425268749461286,1.0000001e-24,relu,16,0.0,100,200,50,mean_squared_error,0.001
170,0.002111913093055288,0.001147611700274004,1.0000001e-19,relu,16,0.0,100,100,50,mean_squared_error,0.0001
208,0.001353003589125971,0.00024049042874941387,3.90625e-06,relu,16,0.0,100,200,50,mean_squared_error,0.5
210,0.0016459714647175537,0.0005810603400042449,1e-17,relu,16,0.0,50,100,100,mean_squared_error,0.01
187,0.001624218188226223,0.0007714517171584604,1e-15,relu,16,0.0,300,50,200,mean_squared_error,0.01
151,0.002416273397910926,0.0016881111186763673,1.0000001e-19,relu,16,0.1,400,200,200,mean_squared_error,0.0001
140,0.001961453261578249,0.0018463975443820994,1.0000001e-19,relu,16,0.1,50,100,100,mean_squared_error,0.0001
354,0.001210086500375635,0.0007572514759347632,6.103516e-08,relu,16,0.1,300,100,50,mean_squared_error,0.5
183,0.0012870861165639427,0.0004571197625914026,1.0000001e-09,relu,16,0.0,200,200,50,mean_squared_error,0.1
204,0.0017919094663941199,0.0011548360108290553,1.0000001e-10,relu,16,0.1,50,200,100,mean_squared_error,0.1
182,0.0018086520980836616,0.0005165787688978712,1e-15,relu,16,0.0,50,200,200,mean_squared_error,0.01
162,0.0015056176861334178,0.0008021339527882542,1e-15,relu,16,0.0,200,50,100,mean_squared_error,0.01
216,0.001452014393483599,0.0008346707734382331,6.561e-08,relu,16,0.1,100,200,100,mean_squared_error,0.3
204,0.0016396383159897393,0.000301246350428751,3.125e-05,relu,16,0.0,50,50,100,mean_squared_error,0.5
250,0.001581900701340702,0.000759922486593558,3.90625e-06,relu,16,0.1,100,50,100,mean_squared_error,0.5
152,0.0027888635328660407,0.0027962648282567407,1.0000001e-23,relu,16,0.1,400,50,50,mean_squared_error,0.0001
