round_epochs,val_loss,loss,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,losses,lr_reduce_rate
259,0.004106799159198999,0.0005490058152160296,1.5625e-05,relu,16,0.2,400,100,400,mean_squared_error,0.5
203,0.0019617603439837693,0.001521754441782832,7.29e-07,relu,32,0.05,100,200,50,mean_squared_error,0.3
151,0.006001308709383011,0.0024435275689595275,2.43e-06,relu,32,0.45,100,300,400,mean_squared_error,0.3
116,0.013922220170497894,0.005034513506624433,1.0000001e-19,relu,32,0.30000000000000004,50,200,300,mean_squared_error,0.0001
227,0.0022570881992578506,0.001087983023802129,6.561e-08,relu,64,0.0,400,50,200,mean_squared_error,0.3
142,0.009171612560749054,0.019703095820215014,1.0000001e-19,relu,64,0.45,400,100,50,mean_squared_error,0.0001
171,0.0032223123125731945,0.002332909492154916,1.0000001e-08,relu,16,0.25,100,50,100,mean_squared_error,0.1
128,0.005280864853411913,0.0038874501693579888,1.0000001e-11,relu,32,0.25,400,400,200,mean_squared_error,0.01
147,0.0038214600645005703,0.004929201230406761,1e-15,relu,64,0.25,100,300,100,mean_squared_error,0.001
153,0.0030902791768312454,0.001973867592298322,1.0000001e-08,relu,32,0.15000000000000002,100,300,300,mean_squared_error,0.1
188,0.001825405741110444,0.0011432118048994905,2.43e-06,relu,16,0.15000000000000002,100,100,100,mean_squared_error,0.3
124,0.008174662478268147,0.009971521674758859,1e-15,relu,64,0.35000000000000003,100,300,100,mean_squared_error,0.001
205,0.0025104507617652416,0.001310856219691535,2.1870001e-07,relu,16,0.30000000000000004,300,200,200,mean_squared_error,0.3
235,0.004274195060133934,0.006041585044521424,7.8125e-06,relu,64,0.30000000000000004,400,200,50,mean_squared_error,0.5
176,0.0028700138255953788,0.0013540831968809168,1.0000001e-07,relu,16,0.25,200,100,200,mean_squared_error,0.1
162,0.002769858194515109,0.0034728352456457087,1e-15,relu,16,0.30000000000000004,400,300,50,mean_squared_error,0.001
149,0.003365975394845009,0.004191068733731906,1.0000001e-19,relu,32,0.25,50,100,50,mean_squared_error,0.0001
112,0.016873477697372435,0.005908070589519209,1.0000001e-19,relu,32,0.35000000000000003,300,300,300,mean_squared_error,0.0001
119,0.00699432622641325,0.004112073752201266,1.00000005e-13,relu,32,0.2,400,300,300,mean_squared_error,0.01
187,0.0019622385804541407,0.001065077480032212,2.43e-06,relu,16,0.15000000000000002,300,400,100,mean_squared_error,0.3
166,0.00430779168382287,0.005080593939249714,6.25e-05,relu,32,0.35000000000000003,50,50,50,mean_squared_error,0.5
219,0.00520727552473545,0.0041937201056215494,1.0000001e-23,relu,16,0.35000000000000003,400,100,50,mean_squared_error,0.0001
103,0.013332150653004646,0.0035611863227354157,1.0000001e-11,relu,16,0.30000000000000004,300,100,400,mean_squared_error,0.01
161,0.0022724457178264854,0.002220078882657819,1.0000001e-09,relu,16,0.2,50,400,100,mean_squared_error,0.1
145,0.003480349536985159,0.003492926127380795,1.0000001e-11,relu,16,0.4,300,200,100,mean_squared_error,0.01
214,0.004396714903414249,0.0033441756976147494,2.43e-06,relu,32,0.35000000000000003,50,50,100,mean_squared_error,0.3
137,0.003834158107638359,0.002420411002304819,1.00000005e-13,relu,32,0.2,200,300,400,mean_squared_error,0.01
150,0.0019526517344638705,0.0021151662659313944,1.0000001e-19,relu,16,0.05,200,400,50,mean_squared_error,0.0001
104,0.024218457043170927,0.003782200233803855,1.0000001e-11,relu,16,0.25,400,50,400,mean_squared_error,0.01
264,0.002063384121283889,0.000871764627388782,9.765625e-07,relu,32,0.05,400,300,200,mean_squared_error,0.5
113,0.006271802932024002,0.0022726492224157684,6.25e-05,relu,32,0.30000000000000004,400,300,300,mean_squared_error,0.5
217,0.005790216848254204,0.010144701360000504,7.29e-07,relu,64,0.4,200,50,50,mean_squared_error,0.3
110,0.0029563123127445577,0.001858801680435944,1.0000001e-23,relu,16,0.0,200,200,300,mean_squared_error,0.0001
157,0.0027827864978462458,0.0041749184920142094,1.0000001e-19,relu,64,0.1,50,400,50,mean_squared_error,0.0001
190,0.0023423768021166324,0.001399567191902962,1.0000001e-09,relu,16,0.30000000000000004,400,400,400,mean_squared_error,0.1
184,0.003959026653319597,0.002064077828803824,7.8125e-06,relu,64,0.15000000000000002,100,200,300,mean_squared_error,0.5
189,0.0026516389567404985,0.00142716437836902,1e-17,relu,32,0.0,50,100,100,mean_squared_error,0.01
109,0.016890838742256165,0.023484422142306963,1.0000001e-11,relu,64,0.45,100,100,50,mean_squared_error,0.01
177,0.0016968177631497383,0.00038158423044175533,1.0000001e-09,relu,16,0.0,400,300,100,mean_squared_error,0.1
145,0.004348818678408861,0.003961789918442567,1e-15,relu,64,0.15000000000000002,200,300,300,mean_squared_error,0.001
150,0.005594401061534882,0.002367711750169595,1.0000001e-07,relu,16,0.35000000000000003,50,50,300,mean_squared_error,0.1
149,0.0031504938565194607,0.0008909014770243731,7.29e-07,relu,16,0.1,200,100,400,mean_squared_error,0.3
189,0.0022363210283219814,0.002081544022593233,1.0000001e-09,relu,32,0.1,200,300,100,mean_squared_error,0.1
104,0.03842721238732338,0.006893741581588984,1.0000001e-19,relu,16,0.35000000000000003,400,50,400,mean_squared_error,0.0001
141,0.007694954127073288,0.0038433686643838884,1e-15,relu,32,0.45,100,200,300,mean_squared_error,0.001
133,0.026388276368379593,0.008133437397579352,1.0000001e-19,relu,64,0.35000000000000003,200,200,400,mean_squared_error,0.0001
119,0.0030544641986489296,0.0022322473043782844,1.0000001e-19,relu,32,0.0,100,200,400,mean_squared_error,0.0001
126,0.004321012180298567,0.007013819341858228,1.0000001e-11,relu,64,0.30000000000000004,100,400,100,mean_squared_error,0.01
