round_epochs,val_loss,val_mse,val_mae,loss,mse,mae,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
226,0.002127402617285649,0.00212740246206522,0.03383609652519226,0.001701940083150923,0.0017019401,0.031259384,2.1870001e-07,elu,64,0.0,400,100,400,0.01,mean_squared_error,0.3
206,0.0012985631280268233,0.001298563089221716,0.02653937041759491,0.0010262182211058033,0.0010262183,0.024343591,1e-15,elu,16,0.0,300,400,200,0.1,mean_squared_error,0.01
262,0.0010488821685107218,0.0010488820262253284,0.023872092366218567,0.0006448653954729682,0.00064486545,0.019236526,1e-15,elu,16,0.0,300,400,300,0.001,mean_squared_error,0.01
188,0.003398914821445942,0.003398914821445942,0.04281780123710632,0.002805916126817465,0.002805916,0.03990665,1e-15,relu,128,0.0,300,200,400,0.1,mean_squared_error,0.01
245,0.002134342160489824,0.002134342212229967,0.034254275262355804,0.0017134274727435685,0.0017134276,0.03143426,1.0000001e-10,elu,32,0.0,50,50,100,0.01,mean_squared_error,0.1
239,0.001317606242890987,0.001317606191150844,0.026493795216083527,0.000741545603076733,0.00074154563,0.020017052,1e-15,relu,32,0.0,200,200,100,0.0001,mean_squared_error,0.01
300,0.00241182092577219,0.00241182092577219,0.03588122874498367,0.00196723636193346,0.0019672364,0.0336045,1.953125e-06,elu,128,0.0,300,400,300,0.1,mean_squared_error,0.5
212,0.002710163774382737,0.00271016382612288,0.03790365159511566,0.0022834512699581103,0.0022834514,0.036014438,1.0000001e-10,elu,64,0.0,50,200,100,0.01,mean_squared_error,0.1
246,0.0015732419884039296,0.0015732418978586793,0.028675857931375504,0.0008161395727083772,0.00081613957,0.02116239,2.1870001e-07,relu,16,0.0,50,50,50,0.001,mean_squared_error,0.3
410,0.0031793382950127125,0.0031793382950127125,0.041694626212120056,0.0027255080241385,0.002725508,0.03925958,1.594323e-10,relu,128,0.0,100,50,50,0.1,mean_squared_error,0.3
231,0.0009878273833439583,0.0009878273122012615,0.02346539869904518,0.00019672801095239436,0.00019672801,0.010154702,3.90625e-06,relu,16,0.0,400,100,100,0.01,mean_squared_error,0.5
293,0.0012009759989774062,0.0012009760830551386,0.025456449016928673,0.0004864700119619655,0.00048647,0.016156515,3.90625e-06,relu,32,0.0,200,100,50,0.1,mean_squared_error,0.5
307,0.0026818832848221064,0.0026818832848221064,0.03765386715531349,0.002150322705568206,0.0021503225,0.035111226,6.561e-08,elu,128,0.0,100,300,400,0.1,mean_squared_error,0.3
271,0.0015782405777523916,0.0015782405389472842,0.027651531621813774,0.0010149709900661235,0.001014971,0.023577847,1.9683e-08,elu,32,0.0,300,400,300,0.001,mean_squared_error,0.3
196,0.0017744901383088694,0.0017744903452694416,0.030896421521902084,0.0013751837481509582,0.0013751837,0.02813902,1e-15,elu,16,0.0,50,100,50,0.001,mean_squared_error,0.01
266,0.0014314030348840687,0.0014314030995592475,0.028004322201013565,0.0010826379079603796,0.0010826379,0.02513951,1.0000001e-10,elu,32,0.0,200,400,50,0.01,mean_squared_error,0.1
266,0.0016588833985022372,0.001658883411437273,0.029870565980672836,0.000915748065386861,0.0009157481,0.022571906,1.953125e-06,elu,16,0.0,50,300,100,0.0001,mean_squared_error,0.5
229,0.0011284795538004902,0.0011284796055406332,0.024229250848293304,0.0006690976176210722,0.0006690977,0.019232854,1.0000001e-21,relu,32,0.0,400,200,200,0.1,mean_squared_error,0.001
206,0.0016727359551522466,0.0016727359034121037,0.03078669309616089,0.001132151580704347,0.0011321517,0.025089672,1e-17,relu,32,0.0,400,50,400,0.1,mean_squared_error,0.01
245,0.0017519427023621069,0.0017519427929073572,0.030972816050052643,0.0013093569361665677,0.001309357,0.027507948,1.0000001e-24,elu,32,0.0,400,50,400,0.001,mean_squared_error,0.001
285,0.0016386056732800272,0.0016386057250201702,0.030112124979496002,0.0011204633060472834,0.0011204632,0.024934899,1.0000001e-10,relu,64,0.0,300,100,100,0.1,mean_squared_error,0.1
250,0.0014237129491650397,0.0014237130526453257,0.02821412682533264,0.0008466583168905843,0.00084665825,0.021350835,1.0000001e-11,relu,32,0.0,200,400,200,0.001,mean_squared_error,0.1
347,0.0019790762259314456,0.0019790763035416603,0.03287559747695923,0.0015423837138885325,0.0015423837,0.029912438,2.4414064e-07,elu,64,0.0,400,50,200,0.01,mean_squared_error,0.5
302,0.0025872569789903033,0.0025872569531202316,0.03801418095827103,0.0019897244206261225,0.0019897246,0.033572335,1.0000001e-24,relu,64,0.0,50,50,100,0.1,mean_squared_error,0.001
282,0.0033255505841225386,0.0033255505841225386,0.04218219220638275,0.0025733258891444525,0.0025733258,0.038009666,6.561e-08,relu,128,0.0,300,50,200,0.0001,mean_squared_error,0.3
211,0.001869236649427977,0.001869236584752798,0.03196191042661667,0.0013801076078085327,0.0013801075,0.028396256,6.561e-08,elu,32,0.0,400,300,200,0.01,mean_squared_error,0.3
282,0.0012340334166462223,0.0012340334942564368,0.02433083951473236,0.00046697681462551784,0.00046697687,0.015913626,9.765625e-07,elu,16,0.0,100,300,200,0.0001,mean_squared_error,0.5
238,0.0033519635908305645,0.0033519635908305645,0.04361386597156525,0.0027908023411982526,0.0027908022,0.040287808,1e-17,elu,128,0.0,200,300,100,0.01,mean_squared_error,0.01
370,0.0027342818211764097,0.0027342818211764097,0.038190361112356186,0.002081369484681926,0.0020813695,0.03398063,2.4414064e-07,relu,128,0.0,50,400,200,0.001,mean_squared_error,0.5
353,0.002787022851407528,0.002787022851407528,0.03873446211218834,0.00199387643038008,0.0019938764,0.033226468,1.0000001e-12,relu,128,0.0,100,300,300,0.01,mean_squared_error,0.1
