round_epochs,val_loss,val_mae,val_f1score,loss,mae,f1score,lr,activation,batch_size,dropout,layer_1_node,layer_2_node,layer_3_node,learning_rate,losses,lr_reduce_rate
186,0.0017668656221079364,0.03545140102505684,0.0,0.0012737218966609096,0.02691414,0.5071604,3.125e-05,relu,64,0.0,100,200,200,0.0001,mean_squared_error,0.5
132,0.001553361202445878,0.03242359682917595,0.0,0.0017717369657566026,0.03222801,0.5145815,8.1e-06,elu,32,0.0,50,300,100,0.1,mean_squared_error,0.3
123,0.0013693086610300283,0.030244901776313782,0.0,0.0015157588458298466,0.029935913,0.50838405,1.0000001e-06,elu,32,0.0,300,200,200,0.01,mean_squared_error,0.1
105,0.001706717949865622,0.03424176573753357,0.0,0.001593886209256414,0.02967451,0.5143105,1.0000001e-07,relu,32,0.0,50,50,200,0.1,mean_squared_error,0.01
146,0.002272374927997589,0.036119572818279266,0.0,0.002490780417681389,0.037674993,0.5071657,1.0000001e-09,elu,128,0.0,200,300,300,0.0001,mean_squared_error,0.01
237,0.00176438526250422,0.033960387110710144,0.0,0.0018612806294924502,0.0319829,0.46964547,2.43e-06,relu,128,0.0,100,400,100,0.1,mean_squared_error,0.3
149,0.0013073596625398634,0.029078476130962372,0.0,0.001832268400694219,0.032944612,0.5184051,3.125e-05,elu,64,0.0,400,300,200,0.01,mean_squared_error,0.5
107,0.0018423445146484956,0.03451414778828621,0.002631569281220436,0.001074885230903944,0.025595691,0.5195138,0.000125,elu,16,0.0,200,200,50,0.001,mean_squared_error,0.5
196,0.0016906480304896832,0.032615285366773605,0.0,0.0022087068525816476,0.0355382,0.4844801,8.1e-06,relu,128,0.0,400,100,50,0.0001,mean_squared_error,0.3
95,0.0026414189372920027,0.03997296839952469,0.0,0.0016351105955981216,0.03074707,0.5178949,1e-09,relu,32,0.0,50,100,100,0.0001,mean_squared_error,0.001
153,0.0009088735825801925,0.025102199986577034,0.0,0.0004601687104021189,0.015732642,0.5123748,8.1e-06,relu,16,0.0,200,50,300,0.001,mean_squared_error,0.3
246,0.0017514278879389167,0.03234332799911499,0.0,0.002092058156417106,0.034817725,0.4781778,7.8125e-06,relu,128,0.0,300,50,50,0.0001,mean_squared_error,0.5
117,0.0022441509645432234,0.0352788008749485,0.0,0.0027275204551326544,0.039735306,0.54502136,1.0000001e-07,elu,128,0.0,300,100,200,0.001,mean_squared_error,0.01
143,0.0010008177700334452,0.02652188204228878,0.0,0.0005471347874189071,0.017426495,0.51273054,1.0000001e-07,relu,16,0.0,400,50,400,0.1,mean_squared_error,0.1
229,0.0016093580052256584,0.030743196606636047,0.0,0.002208798396666165,0.035798676,0.49369237,2.43e-06,elu,128,0.0,400,50,50,0.01,mean_squared_error,0.3
159,0.0013976612482482279,0.03027093969285488,0.0,0.0017671478259729144,0.032007,0.5174152,2.7e-05,elu,64,0.0,300,200,100,0.001,mean_squared_error,0.3
106,0.0015284896514240758,0.03199651092290878,0.0,0.0013018307869190793,0.027923463,0.51644015,1.0000001e-07,elu,16,0.0,100,300,100,0.01,mean_squared_error,0.01
156,0.0017836308106780052,0.031354282051324844,0.0,0.0024232319748089945,0.03755816,0.51044875,1.0000001e-07,elu,128,0.0,200,300,100,0.001,mean_squared_error,0.01
88,0.0017778535621916273,0.034919846802949905,0.0,0.0013670374581034109,0.028625894,0.50630605,1.0000001e-05,elu,16,0.0,200,300,50,0.1,mean_squared_error,0.1
140,0.0017279349927442856,0.03386280685663223,0.0,0.0013641700538564734,0.028449612,0.5067814,2.7e-05,elu,32,0.0,200,100,50,0.0001,mean_squared_error,0.3
101,0.0015216520331590108,0.03150497004389763,0.0,0.0016675846493501697,0.031154206,0.5019946,1.0000001e-07,elu,32,0.0,100,400,100,0.0001,mean_squared_error,0.01
94,0.0012085958003578052,0.026006486266851425,0.0,0.000966362033300406,0.023319371,0.50554985,1e-09,relu,16,0.0,100,400,100,0.1,mean_squared_error,0.001
224,0.0012234240662942733,0.028156181797385216,0.0,0.0016105230386198018,0.030618753,0.5132063,1.5625e-05,elu,64,0.0,100,400,200,0.001,mean_squared_error,0.5
97,0.0011948247454096367,0.027755746617913246,0.0,0.0018031397232609115,0.032521453,0.51729,1e-09,elu,32,0.0,300,50,50,0.0001,mean_squared_error,0.001
76,0.001991609444277702,0.038691043853759766,0.0,0.0010804520063279674,0.024974162,0.50725967,1e-09,relu,16,0.0,300,100,400,0.0001,mean_squared_error,0.001
112,0.0019327752738141678,0.034920062869787216,0.0,0.0018346984054195125,0.032361962,0.53018016,1.0000001e-09,relu,64,0.0,200,200,100,0.1,mean_squared_error,0.01
139,0.0018185455119237304,0.032867223024368286,0.0,0.002641786869708014,0.039437037,0.52175915,1.0000001e-07,elu,128,0.0,100,200,300,0.0001,mean_squared_error,0.01
106,0.0014592091438957347,0.029630020260810852,0.0,0.0012259035641733053,0.027119277,0.5106399,1e-09,elu,16,0.0,300,50,100,0.1,mean_squared_error,0.001
106,0.002200515741567639,0.037962622940540314,0.0,0.002453851416883744,0.037400626,0.49902374,1e-09,elu,64,0.0,100,200,400,0.001,mean_squared_error,0.001
128,0.002994612790644169,0.04481860250234604,0.0,0.0030512942999172637,0.04183026,0.5484162,1e-09,relu,128,0.0,50,400,300,0.01,mean_squared_error,0.001
89,0.0015911139776556371,0.03259693831205368,0.0,0.0014914814358349734,0.02972327,0.5073137,1.0000001e-05,elu,16,0.0,200,300,200,0.001,mean_squared_error,0.1
95,0.0012644258652433334,0.03027709387242794,0.0,0.0007625427086219122,0.020600919,0.5165476,1.0000001e-07,relu,16,0.0,400,100,400,0.001,mean_squared_error,0.01
106,0.0015086154297689423,0.032570309937000275,0.0,0.0012578407999904446,0.026542377,0.5142469,1e-09,elu,16,0.0,50,400,300,0.0001,mean_squared_error,0.001
192,0.0011359909467372885,0.0280313640832901,0.0,0.0010114105050430327,0.02375047,0.4858701,3.125e-05,relu,64,0.0,300,200,100,0.001,mean_squared_error,0.5
169,0.0021304319937333043,0.0402948223054409,0.0,0.0008702715629788513,0.02186819,0.51744413,1.0000001e-09,relu,32,0.0,50,100,300,0.0001,mean_squared_error,0.01
131,0.0027090109684701326,0.041341252624988556,0.0,0.0019497476602523568,0.033028923,0.5375611,2.7e-05,relu,64,0.0,50,100,200,0.01,mean_squared_error,0.3
123,0.0019013439854410228,0.036102790385484695,0.0,0.0013219278709873162,0.027881313,0.503193,0.000125,elu,32,0.0,200,400,200,0.001,mean_squared_error,0.5
195,0.0021289153955876827,0.03641030192375183,0.0,0.0018142547438856835,0.031438444,0.50854164,8.1e-06,relu,128,0.0,200,400,400,0.1,mean_squared_error,0.3
195,0.002415531314909458,0.03944167494773865,0.0,0.002057719797465927,0.03368602,0.48488128,3.125e-05,relu,128,0.0,50,300,300,0.001,mean_squared_error,0.5
234,0.0016554301837459207,0.031710974872112274,0.0,0.0018849890214908131,0.03277892,0.53843814,3.125e-05,relu,128,0.0,200,200,50,0.001,mean_squared_error,0.5
107,0.0010648935821733739,0.02658519521355629,0.0,0.001108099288878525,0.02498051,0.5003924,1e-09,relu,32,0.0,200,400,100,0.001,mean_squared_error,0.001
